gene_index,gene_name,cluster_id,is_medoid
365,ENSG00000215030,3,False
368,ENSG00000223350,3,False
371,ENSG00000224041,3,False
372,ENSG00000224373,3,False
373,ENSG00000224650,3,False
375,ENSG00000225523,3,False
376,ENSG00000225783,3,False
377,ENSG00000225840,3,False
379,ENSG00000226777,3,False
383,ENSG00000229391,3,False
385,ENSG00000230006,3,True
386,ENSG00000230076,3,False
387,ENSG00000231292,3,False
388,ENSG00000231475,3,False
392,ENSG00000233999,3,False
399,ENSG00000237988,3,False
401,ENSG00000239855,3,False
402,ENSG00000239951,3,False
403,ENSG00000239975,3,False
404,ENSG00000240041,3,False
405,ENSG00000240382,3,False
406,ENSG00000240864,3,False
407,ENSG00000241106,3,False
408,ENSG00000241244,3,False
409,ENSG00000241294,3,False
410,ENSG00000241351,3,False
411,ENSG00000241755,3,False
412,ENSG00000242076,3,False
413,ENSG00000242472,3,False
414,ENSG00000242534,3,False
415,ENSG00000243063,3,False
416,ENSG00000243238,3,False
417,ENSG00000243264,3,False
418,ENSG00000243466,3,False
419,ENSG00000244116,3,False
420,ENSG00000244437,3,False
421,ENSG00000244575,3,False
423,ENSG00000247627,3,False
425,ENSG00000249096,3,False
428,ENSG00000251546,3,False
429,ENSG00000253755,3,False
430,ENSG00000253998,3,False
431,ENSG00000254098,3,False
432,ENSG00000254709,3,False
461,ENSG00000270550,3,False
468,ENSG00000273962,3,False
469,ENSG00000274012,3,False
472,ENSG00000275063,3,False
475,ENSG00000276168,3,False
477,ENSG00000276566,3,False
478,ENSG00000276775,3,False
480,ENSG00000277734,3,False
481,ENSG00000278196,3,False
482,ENSG00000278263,3,False
483,ENSG00000278857,3,False
485,ENSG00000280411,3,False
486,ENSG00000280614,3,False
487,ENSG00000280800,3,False
488,ENSG00000281181,3,False
490,ENSG00000282122,3,False
491,ENSG00000282639,3,False
492,ENSG00000282651,3,False
